Rabbit - low ATP,,,,
time (s),A band width (micron),,time (s),Sarcomere length (micron)
3.742036676,1.506191464,,2.981851945,2.48039697
3.731106017,1.517055536,,3.003216312,2.496671558
3.746011461,1.513215576,,3.012333016,2.513682922
3.792383954,1.509896354,,3.022339771,2.53082527
3.77582235,1.506633124,,3.034100024,2.546297589
3.809359599,1.515072565,,3.041400421,2.560417513
3.83445043,1.519395832,,3.061483277,2.573934917
3.88512894,1.520415,,3.086531237,2.586793041
3.924876791,1.523930043,,3.111499466,2.593860644
3.971851524,1.519294461,,3.163897526,2.589724273
3.95965616,1.524207162,,3.18793897,2.571708212
4.03087106,1.519548555,,3.195588715,2.559592322
4.038442079,1.516099968,,3.202881131,2.547329077
4.082448629,1.523824923,,3.200897455,2.583889594
4.090078797,1.520685003,,3.244406221,2.544070885
4.13852149,1.52740397,,3.27172635,2.567123822
4.126928367,1.521659636,,3.265154676,2.554320273
4.17330086,1.531052756,,3.281102991,2.628816624
4.227954155,1.529166995,,3.280908568,2.614696701
4.227954155,1.526240413,,3.284063513,2.602991223
4.28260745,1.528622585,,3.275617503,2.591683058
4.347197708,1.528993518,,3.275466005,2.58068052
4.406819484,1.52972988,,3.301133544,2.710785533
4.431661891,1.534457056,,3.296957671,2.696512796
4.440179288,1.537963532,,3.29182652,2.685112944
4.481346705,1.533576916,,3.291675022,2.674110406
4.50122063,1.536939485,,3.286550604,2.663199556
4.550905444,1.538178067,,3.286399106,2.652197018
4.579296766,1.53562282,,3.284600068,2.641958545
4.631394842,1.537704293,,3.3080065,2.77643401
4.655243553,1.542416148,,3.307796086,2.761152707
4.677246828,1.544919855,,3.307644589,2.750150169
4.722318052,1.541689809,,3.307493091,2.739147631
4.748225133,1.537399973,,3.307341593,2.728145093
4.764550143,1.534010871,,3.307198511,2.717753807
4.794361032,1.531498198,,3.356750963,2.704000635
4.813682904,1.527658588,,3.342421783,2.747093909
4.828146705,1.522849162,,3.367078073,2.73150698
4.837657798,1.518201352,,3.366926575,2.720504442
4.834108883,1.515702371,,3.370068354,2.69064041
4.873856734,1.52784626,,3.414795717,2.704917513
4.885781089,1.522195241,,3.411782591,2.726922589
4.907216537,1.518324441,,3.411631093,2.715920051
4.924093601,1.513369749,,3.416283342,2.692539657
4.93513467,1.509148418,,3.416131844,2.681537119
4.967264183,1.505602479,,3.425918191,2.669770516
5.017942693,1.506121688,,3.422205289,2.658156726
5.054378223,1.503137018,,3.439127969,2.648594996
5.073838109,1.499842342,,3.435403645,2.63615165
5.11460224,1.506414788,,3.435252147,2.625149112
5.110687679,1.502806136,,3.43153684,2.613360678
5.176934097,1.507536588,,3.448472146,2.604715827
5.171965616,1.503359718,,3.439764261,2.591591371
5.168416701,1.499923316,,3.439640537,2.582605964
5.171965616,1.497483689,,3.485566297,2.666714255
5.211713467,1.511868242,,3.498911943,2.655406091
5.231587393,1.508120131,,3.49520325,2.644097927
5.229931232,1.504598955,,3.495043335,2.632484137
5.273593644,1.501239334,,3.49489815,2.621940038
5.29493553,1.506890491,,3.55908404,2.659440355
5.33219914,1.513889799,,3.554897647,2.644403553
5.334269341,1.509728729,,3.556865317,2.632484137
5.313567335,1.503325192,,3.546761847,2.621219634
5.343378223,1.516222804,,3.57732295,2.673219724
5.345862464,1.507991988,,3.599741038,2.649904822
5.392837197,1.512023912,,3.599564291,2.637068528
5.446336199,1.514569504,,3.604393287,2.626524429
5.483560377,1.511275689,,3.614171217,2.614146574
5.496336472,1.507670733,,3.605771498,2.606200296
5.484979943,1.514999355,,3.623887601,2.597298937
5.511809742,1.504301161,,3.634622177,2.582147525
5.561765564,1.50994211,,3.638452971,2.571358926
5.614160458,1.51305852,,3.67399523,2.623865482
5.676266476,1.515288855,,3.673794074,2.609256557
5.711045845,1.518858379,,3.680276924,2.598406832
5.753277937,1.520178682,,3.733538971,2.613229695
5.767189685,1.516942251,,3.74261983,2.60183421
5.781669259,1.513925359,,3.771326486,2.587964608
5.789299427,1.510393486,,3.831909831,2.584020577
5.807931232,1.507068259,,3.852347024,2.571664552
5.840000521,1.518818696,,3.862148099,2.56096764
5.827805158,1.514546335,,3.86699919,2.552028077
5.842710602,1.51155234,,3.87963529,2.54079632
5.896370201,1.517556079,,3.905390943,2.530506909
5.897363897,1.514483246,,3.949817714,2.545890087
5.910849775,1.512406962,,3.936369466,2.532544416
5.954225406,1.518633736,,3.976503796,2.557300127
5.942080229,1.514486784,,4.027545978,2.548524293
5.987506345,1.522564609,,4.090657496,2.538962563
6.050393123,1.523933581,,4.150968105,2.532413434
6.102491199,1.523906346,,4.182972767,2.524109137
6.119525993,1.521516781,,4.181451054,2.509928088
6.158485196,1.518101162,,4.189604589,2.499995241
6.169388252,1.514436175,,4.191088007,2.48731176
6.180567335,1.52259948,,4.185103838,2.534378173
6.225283668,1.517458635,,4.199237334,2.477073287
6.240189112,1.523907441,,4.200724959,2.464695431
6.23522063,1.520546051,,4.216674927,2.453299946
6.243501433,1.514144807,,4.240802286,2.441523419
6.297100808,1.528108513,,4.280275407,2.462046672
6.279936963,1.523659082,,4.273439763,2.447274746
6.274968481,1.520686379,,4.329730718,2.471342798
6.27,1.517805132,,4.384565308,2.467053118
6.356120344,1.527750131,,4.418518882,2.455788615
6.366885387,1.525357892,,4.427595232,2.444065673
6.412429799,1.531687181,,4.441347458,2.431321066
6.394212034,1.527829357,,4.475831195,2.455119148
6.473707736,1.531448147,,4.503604816,2.442297408
6.538297994,1.532642181,,4.535392331,2.445746616
6.530845272,1.528560381,,4.536810099,2.428295368
6.574733524,1.536547173,,4.543641394,2.418668147
6.586563242,1.531078187,,4.578861419,2.437451051
6.59460745,1.527342205,,4.605164902,2.418428348
6.605017601,1.523397369,,4.650254283,2.430679251
6.614954564,1.519086672,,4.655728589,2.446357868
6.626488539,1.51436945,,4.670568895,2.461027919
6.64208405,1.509877923,,4.673473237,2.419080742
6.652573066,1.509055652,,4.671780878,2.476798223
6.712194842,1.510066381,,4.70432937,2.432299069
6.769332378,1.511019755,,4.713355357,2.409099273
6.791690544,1.515205622,,4.734536376,2.45858291
6.81156447,1.518396711,,4.731026674,2.444524112
6.854861236,1.515460489,,4.730371761,2.396961056
6.876154728,1.518196046,,4.76212343,2.432211748
6.903757402,1.512245988,,4.755521997,2.417246986
6.934782808,1.52073858,,4.755171658,2.391803617
6.92087106,1.516759156,,4.784404449,2.467751692
6.940744986,1.524991741,,4.770929549,2.452470389
6.981734957,1.519541938,,4.760897018,2.446357868
7.000366762,1.515530794,,4.760291026,2.402347716
7.020240688,1.511965594,,4.815405617,2.482902012
7.041108309,1.508976643,,4.841154456,2.495054287
7.09973639,1.512909304,,4.898923006,2.499995241
7.159358166,1.512571062,,4.88087918,2.490062394
7.203080802,1.517906388,,4.921005094,2.514206853
7.190825215,1.511384627,,4.945620353,2.49564007
7.233885387,1.515206309,,4.964906357,2.541598588
7.262702579,1.51887139,,4.956013743,2.527960025
7.288538682,1.522870048,,4.973626782,2.562801396
7.320833811,1.524301598,,4.951405681,2.554549492
7.366378223,1.521245246,,4.960832219,2.516651861
7.424107245,1.51954264,,4.950799689,2.51053934
7.437593123,1.517303043,,4.985462734,2.589505473
7.487277937,1.521358461,,4.974938361,2.577777073
7.512120344,1.525757159,,4.994182808,2.610682812
7.566773639,1.526321649,,4.971933652,2.600393401
7.563224724,1.522767661,,5.004479057,2.635947899
7.575054441,1.519920405,,4.997120185,2.623315355
7.624266066,1.525712137,,5.014973271,2.655520701
7.687673352,1.524928893,,5.024081408,2.671909898
7.69950307,1.522190513,,5.035070419,2.690145587
